"Sim.ID","Region","Dist.to.Margin","MeanCloneBirth","Location"
"16406","R8",32.76,0.81055900621118,"At.Centre"
"16406","R10",15.26,NA,"At.Centre"
"16406","R11",17.26,0.755693581780538,"At.Centre"
"16406","R12",36.67,0.670807453416149,"At.Centre"
"16406","R15",15.26,0.372670807453416,"At.Centre"
"16406","R16",11.31,0.770186335403727,"At.Centre"
"16406","R17",27.2,0.683229813664596,"At.Centre"
"16406","R18",41.4,0.683229813664596,"At.Centre"
"16406","R20",6.32,0.869565217391304,"At.Margin"
"16406","R21",13.45,0.72463768115942,"At.Centre"
"16406","R22",23.71,0.77639751552795,"At.Centre"
"16406","R23",15.81,0.869565217391304,"At.Centre"
"16406","R24",4,0.842945874001775,"At.Margin"
"16460","R1",4.24,0.860294117647059,"At.Margin"
"16460","R2",14.14,0.588235294117647,"At.Centre"
"16460","R3",17.72,0.680147058823529,"At.Centre"
"16460","R4",11.31,0.637254901960784,"At.Centre"
"16460","R5",13,0.514705882352941,"At.Centre"
"16460","R6",31.62,0.764705882352941,"At.Centre"
"16460","R7",37.34,0.846638655462185,"At.Centre"
"16460","R8",26.25,0.845588235294118,"At.Centre"
"16460","R9",9.22,0.790441176470588,"At.Margin"
"16460","R10",9.9,0.753676470588235,"At.Margin"
"16460","R11",25.5,0.661764705882353,"At.Centre"
"16460","R12",44.38,0.942873303167421,"At.Centre"
"16460","R13",32.98,0.794117647058823,"At.Centre"
"16460","R14",13,0.720588235294118,"At.Centre"
"16460","R15",21.02,NA,"At.Centre"
"16460","R17",31.91,0.588235294117647,"At.Centre"
"16460","R18",13,0.794117647058824,"At.Centre"
"16460","R19",7.07,0.882352941176471,"At.Margin"
"16460","R20",25.5,0.772058823529412,"At.Centre"
"16460","R21",18.03,0.774509803921569,"At.Centre"
"16460","R22",4.47,0.864705882352941,"At.Margin"
"16460","R23",10.77,0.827205882352941,"At.Centre"
"16460","R24",6.4,0.911764705882353,"At.Margin"
"16470","R1",8.94,0.845070422535211,"At.Margin"
"16470","R2",5.83,0.845070422535211,"At.Margin"
"16470","R3",17.49,0.727699530516432,"At.Centre"
"16470","R4",27.46,0.727699530516432,"At.Centre"
"16470","R5",20.81,0.816901408450704,"At.Centre"
"16470","R6",9,0.816901408450704,"At.Margin"
"16470","R7",7,0.830985915492958,"At.Margin"
"16470","R8",26.4,0.7981220657277,"At.Centre"
"16470","R9",36.62,0.868544600938967,"At.Centre"
"16470","R11",28.02,0.598591549295775,"At.Centre"
"16470","R12",15.81,0.861971830985915,"At.Centre"
"16470","R13",10.05,0.633802816901408,"At.Centre"
"16470","R16",43.38,0.888888888888889,"At.Centre"
"16470","R17",25.08,0.822183098591549,"At.Centre"
"16470","R18",6,0.835010060362173,"At.Margin"
"16470","R19",10.3,NA,"At.Centre"
"16470","R20",21.4,0.563380281690141,"At.Centre"
"16470","R21",35.34,0.813380281690141,"At.Centre"
"16470","R22",21.4,0.727699530516432,"At.Centre"
"16470","R23",5,0.827464788732394,"At.Margin"
"16470","R24",11.31,0.669014084507042,"At.Centre"
"16470","R25",17,0.563380281690141,"At.Centre"
"16470","R26",8.06,0.7981220657277,"At.Margin"
"209992","R1",13.93,0.822784810126582,"At.Centre"
"209992","R2",15,0.810126582278481,"At.Centre"
"209992","R3",13.34,0.860759493670886,"At.Centre"
"209992","R4",4.47,0.838607594936709,"At.Margin"
"209992","R5",13.89,0.848101265822785,"At.Centre"
"209992","R6",31.4,0.838607594936709,"At.Centre"
"209992","R7",35,0.712025316455696,"At.Centre"
"209992","R8",31.95,0.928270042194093,"At.Centre"
"209992","R9",18.87,0.845569620253164,"At.Centre"
"209992","R10",6,NA,"At.Margin"
"209992","R12",46,0.85126582278481,"At.Centre"
"209992","R13",46.62,0.892827004219409,"At.Centre"
"209992","R14",27.46,0.69620253164557,"At.Centre"
"209992","R15",8,0.822784810126582,"At.Margin"
"209992","R16",6.08,NA,"At.Margin"
"209992","R19",30.27,0.848101265822785,"At.Centre"
"209992","R20",22.67,0.69620253164557,"At.Centre"
"209992","R21",4.12,0.89873417721519,"At.Margin"
